pair_id,model,prompt,resp_row,ref_row,kind,domain,note,P_raw,R_raw,F1_raw,P_rescaled,R_rescaled,F1_rescaled
51,ChatGPT,Zero-shot,18,5,permuted_domain,Mathematics,,0.82059085,0.79271597,0.80641264,-0.06477958,-0.23012918,-0.14701957
52,ChatGPT,Zero-shot,19,19,correct,Mathematics,,0.9360862,0.85943925,0.8961268,0.62067634,0.16584083,0.3845436
53,ChatGPT,Zero-shot,19,204,permuted_global,Mathematics,,0.87713206,0.8274199,0.8515511,0.27078816,-0.024178475,0.12042929
54,ChatGPT,Zero-shot,19,9,permuted_domain,Mathematics,,0.885457,0.8279083,0.8557161,0.3201959,-0.021280058,0.1451072
55,ChatGPT,Zero-shot,20,20,correct,Mathematics,,0.9457351,0.8582603,0.8998769,0.6779419,0.15884417,0.40676314
56,ChatGPT,Zero-shot,20,193,permuted_global,Mathematics,,0.86337566,0.8356272,0.8492748,0.189145,0.024527954,0.106942035
57,ChatGPT,Zero-shot,20,21,permuted_domain,Mathematics,,0.85591066,0.81265616,0.8337227,0.14484076,-0.111793876,0.014794661
58,ChatGPT,Zero-shot,21,21,correct,Mathematics,,0.8179971,0.7688846,0.79268086,-0.08017332,-0.37155667,-0.22838137
59,ChatGPT,Zero-shot,21,286,permuted_global,Mathematics,,0.85664403,0.85664403,0.856644,0.14919329,0.14925258,0.15060486
60,ChatGPT,Zero-shot,21,6,permuted_domain,Mathematics,,0.8581123,0.88683236,0.87223595,0.15790719,0.32840547,0.2429885
61,ChatGPT,Zero-shot,22,22,correct,Computer Science,,0.93440795,0.8382077,0.88369745,0.61071616,0.0398421,0.31089872
62,ChatGPT,Zero-shot,22,197,permuted_global,Computer Science,,0.8664791,0.7984105,0.8310533,0.20756365,-0.19633506,-0.0010216975
63,ChatGPT,Zero-shot,22,35,permuted_domain,Computer Science,,0.8927511,0.82940143,0.8599111,0.36348596,-0.012418909,0.16996273
64,ChatGPT,Zero-shot,23,23,correct,Computer Science,,0.9079694,0.87569463,0.89154005,0.4538055,0.26230854,0.3573667
65,ChatGPT,Zero-shot,23,103,permuted_global,Computer Science,,0.83561987,0.8128819,0.82409406,0.024416465,-0.11045432,-0.04225583
66,ChatGPT,Zero-shot,23,67,permuted_domain,Computer Science,,0.86501193,0.86985046,0.8674245,0.19885612,0.22762622,0.2144802
67,ChatGPT,Zero-shot,24,24,correct,Computer Science,,0.95978445,0.8981533,0.9279466,0.76132375,0.39558977,0.5730784
68,ChatGPT,Zero-shot,24,247,permuted_global,Computer Science,,0.8182016,0.8225825,0.82038623,-0.07895961,-0.052886035,-0.06422497
69,ChatGPT,Zero-shot,24,25,permuted_domain,Computer Science,,0.857517,0.8311179,0.84411114,0.1543743,-0.0022323544,0.076346904
70,ChatGPT,Zero-shot,25,25,correct,Computer Science,,0.9512764,0.8996177,0.9247261,0.71082926,0.40428007,0.5539967
71,ChatGPT,Zero-shot,25,322,permuted_global,Computer Science,,0.7958138,0.8405489,0.81756985,-0.21182951,0.053735685,-0.08091223
72,ChatGPT,Zero-shot,25,87,permuted_domain,Computer Science,,0.8047632,0.8083428,0.8065491,-0.15871552,-0.1373915,-0.14621118
73,ChatGPT,Zero-shot,26,26,correct,Computer Science,,0.90781915,0.8295382,0.86691517,0.4529137,-0.011607111,0.21146244
74,ChatGPT,Zero-shot,26,311,permuted_global,Computer Science,,0.863142,0.8441625,0.8535468,0.1877583,0.07518093,0.13225386
75,ChatGPT,Zero-shot,26,62,permuted_domain,Computer Science,,0.87296265,0.83671236,0.85445315,0.24604306,0.030967861,0.13762404
76,ChatGPT,Zero-shot,27,27,correct,Computer Science,,0.9842769,0.94189763,0.96262103,0.9066845,0.6551909,0.77852684
77,ChatGPT,Zero-shot,27,7,permuted_global,Computer Science,,0.8054311,0.85107577,0.82762456,-0.15475139,0.11620765,-0.02133734
78,ChatGPT,Zero-shot,27,31,permuted_domain,Computer Science,,0.85994804,0.82980466,0.8446075,0.1688023,-0.010025963,0.079287685
79,ChatGPT,Zero-shot,28,28,correct,Computer Science,,0.9679867,0.9148822,0.9406856,0.8100035,0.49486747,0.6485576
80,ChatGPT,Zero-shot,28,277,permuted_global,Computer Science,,0.85084534,0.81007934,0.829962,0.11477847,-0.12708609,-0.00748774
81,ChatGPT,Zero-shot,28,22,permuted_domain,Computer Science,,0.86957204,0.84437615,0.8567889,0.22592004,0.07644868,0.1514634
82,ChatGPT,Zero-shot,29,29,correct,Computer Science,,0.9664463,0.92792284,0.94679284,0.80086124,0.5722574,0.68474364
83,ChatGPT,Zero-shot,29,225,permuted_global,Computer Science,,0.8395902,0.84025925,0.83992463,0.04798004,0.052016936,0.05154152
84,ChatGPT,Zero-shot,29,61,permuted_domain,Computer Science,,0.8458946,0.87470067,0.86005646,0.085396074,0.25640985,0.1708241
85,ChatGPT,Zero-shot,30,30,correct,Computer Science,,0.98801625,0.947154,0.9671537,0.92887735,0.6863848,0.8053834
86,ChatGPT,Zero-shot,30,144,permuted_global,Computer Science,,0.80794275,0.8102373,0.8090884,-0.13984512,-0.12614872,-0.13116542
87,ChatGPT,Zero-shot,30,52,permuted_domain,Computer Science,,0.8407935,0.8590579,0.8498275,0.055121526,0.1635777,0.11021691
88,ChatGPT,Zero-shot,31,31,correct,Computer Science,,0.9171737,0.87328625,0.8946921,0.50843215,0.24801596,0.37604296
89,ChatGPT,Zero-shot,31,269,permuted_global,Computer Science,,0.83025444,0.82045954,0.825328,-0.0074269604,-0.065484636,-0.03494467
90,ChatGPT,Zero-shot,31,83,permuted_domain,Computer Science,,0.8563129,0.886264,0.8710311,0.14722787,0.3250327,0.23584968
91,ChatGPT,Zero-shot,32,32,correct,Computer Science,,0.90479106,0.8922573,0.8984805,0.4349422,0.3605997,0.39848924
92,ChatGPT,Zero-shot,32,13,permuted_global,Computer Science,,0.7971151,0.8118738,0.8044267,-0.20410646,-0.11643686,-0.1587862
93,ChatGPT,Zero-shot,32,29,permuted_domain,Computer Science,,0.87131405,0.8615997,0.8664296,0.23625872,0.17866193,0.20858558
94,ChatGPT,Zero-shot,33,33,correct,Computer Science,,0.9433168,0.8676865,0.90392244,0.66358966,0.21478426,0.4307333
95,ChatGPT,Zero-shot,33,172,permuted_global,Computer Science,,0.82202923,0.78153944,0.8012731,-0.05624291,-0.2964564,-0.17747165
96,ChatGPT,Zero-shot,33,23,permuted_domain,Computer Science,,0.8615194,0.8459792,0.8536786,0.1781282,0.085962094,0.1330347
97,ChatGPT,Zero-shot,34,34,correct,Computer Science,,0.9499611,0.85614336,0.90061563,0.7030231,0.1462813,0.4111402
98,ChatGPT,Zero-shot,34,159,permuted_global,Computer Science,,0.8465574,0.8269308,0.83662903,0.089329764,-0.027080784,0.03201484
99,ChatGPT,Zero-shot,34,77,permuted_domain,Computer Science,,0.84078074,0.8933095,0.8662495,0.055045824,0.366844,0.20751832
100,ChatGPT,Zero-shot,35,35,correct,Computer Science,,0.9656051,0.9043223,0.9339595,0.79586875,0.4321999,0.60870504
101,ChatGPT,Zero-shot,35,347,permuted_global,Computer Science,,0.81779253,0.8252387,0.82149875,-0.08138739,-0.037122663,-0.057633206
102,ChatGPT,Zero-shot,35,82,permuted_domain,Computer Science,,0.84190106,0.8572891,0.8495254,0.06169489,0.15308058,0.10842673
103,ChatGPT,Zero-shot,36,36,correct,Computer Science,,0.962588,0.90990084,0.9355032,0.7779627,0.46530566,0.61785156
104,ChatGPT,Zero-shot,36,234,permuted_global,Computer Science,,0.826982,0.80998397,0.8183947,-0.02684849,-0.12765205,-0.07602482
105,ChatGPT,Zero-shot,36,72,permuted_domain,Computer Science,,0.8488276,0.87997484,0.86412066,0.10280336,0.2877095,0.19490479
106,ChatGPT,Zero-shot,37,37,correct,Computer Science,,0.9318799,0.8702789,0.90002656,0.5957123,0.2301688,0.4076499
107,ChatGPT,Zero-shot,37,224,permuted_global,Computer Science,,0.8327534,0.8151947,0.82388055,0.0074043204,-0.09672876,-0.043520857
108,ChatGPT,Zero-shot,37,55,permuted_domain,Computer Science,,0.8477454,0.8674629,0.85749084,0.09638069,0.2134571,0.15562259
109,ChatGPT,Zero-shot,38,38,correct,Computer Science,,0.95534873,0.9292797,0.9421339,0.7349981,0.58030957,0.65713906
110,ChatGPT,Zero-shot,38,143,permuted_global,Computer Science,,0.81471574,0.8036616,0.80915093,-0.09964792,-0.1651723,-0.13079494
111,ChatGPT,Zero-shot,38,46,permuted_domain,Computer Science,,0.8259432,0.8797028,0.8519758,-0.03301398,0.28609508,0.12294557
112,ChatGPT,Zero-shot,39,39,correct,Computer Science,,0.9521642,0.92504203,0.9384072,0.716098,0.5551612,0.635058
113,ChatGPT,Zero-shot,39,149,permuted_global,Computer Science,,0.8450818,0.83937204,0.8422172,0.08057235,0.04675175,0.06512518
114,ChatGPT,Zero-shot,39,76,permuted_domain,Computer Science,,0.84187865,0.857779,0.84975445,0.06156188,0.1559882,0.109783925
115,ChatGPT,Zero-shot,40,40,correct,Computer Science,,0.9614533,0.8830296,0.9205742,0.7712284,0.30583787,0.5293961
116,ChatGPT,Zero-shot,40,349,permuted_global,Computer Science,,0.8116172,0.7651056,0.7876754,-0.11803756,-0.39398316,-0.2580392
117,ChatGPT,Zero-shot,40,37,permuted_domain,Computer Science,,0.84374046,0.8105551,0.82681495,0.072611585,-0.12426266,-0.026134338
118,ChatGPT,Zero-shot,41,41,correct,Computer Science,,0.9705448,0.9284145,0.9490123,0.8251857,0.5751753,0.697894
119,ChatGPT,Zero-shot,41,261,permuted_global,Computer Science,,0.8444044,0.8119995,0.827885,0.076551996,-0.11569086,-0.019794375
120,ChatGPT,Zero-shot,41,36,permuted_domain,Computer Science,,0.8779259,0.8530509,0.8653096,0.27549937,0.12792902,0.20194931
121,ChatGPT,Zero-shot,42,42,correct,Computer Science,,0.88357365,0.94213367,0.9119145,0.30901852,0.65659165,0.478087
122,ChatGPT,Zero-shot,42,91,permuted_global,Computer Science,,0.8614929,0.8432505,0.8522741,0.17797078,0.06976859,0.124713145
123,ChatGPT,Zero-shot,42,41,permuted_domain,Computer Science,,0.8706239,0.82605755,0.8477554,0.23216265,-0.0322632,0.09793923
124,ChatGPT,Zero-shot,43,43,correct,Computer Science,,0.90281343,0.92561305,0.9140711,0.42320517,0.5585499,0.49086475
125,ChatGPT,Zero-shot,43,241,permuted_global,Computer Science,,0.83273035,0.802804,0.81749344,0.0072674197,-0.17026168,-0.08136498
126,ChatGPT,Zero-shot,43,58,permuted_domain,Computer Science,,0.8730253,0.886978,0.8799463,0.24641484,0.32926962,0.28867283
127,ChatGPT,Zero-shot,44,44,correct,Computer Science,,0.90787494,0.9424808,0.9248543,0.4532448,0.65865177,0.554756
128,ChatGPT,Zero-shot,44,337,permuted_global,Computer Science,,0.8182373,0.81715155,0.81769407,-0.07874771,-0.085115984,-0.08017624
129,ChatGPT,Zero-shot,44,59,permuted_domain,Computer Science,,0.8530649,0.8448061,0.8489154,0.12795137,0.07900009,0.104812466
130,ChatGPT,Zero-shot,45,45,correct,Computer Science,,0.884333,0.94891906,0.91548836,0.3135253,0.69685966,0.49926224
131,ChatGPT,Zero-shot,45,120,permuted_global,Computer Science,,0.8466377,0.8084134,0.8270842,0.08980662,-0.13697268,-0.024539106
132,ChatGPT,Zero-shot,45,65,permuted_domain,Computer Science,,0.85250455,0.85948503,0.8559805,0.12462578,0.1661125,0.14667381
133,ChatGPT,Zero-shot,46,46,correct,Computer Science,,0.8882766,0.9505111,0.9183406,0.33693,0.7063076,0.5161621
134,ChatGPT,Zero-shot,46,351,permuted_global,Computer Science,,0.8139734,0.8136857,0.81382954,-0.104053505,-0.105684,-0.10307385
135,ChatGPT,Zero-shot,46,56,permuted_domain,Computer Science,,0.84063435,0.8654127,0.85284364,0.054177016,0.20129038,0.12808761
136,ChatGPT,Zero-shot,47,47,correct,Computer Science,,0.87794596,0.9439815,0.90976703,0.27561858,0.66755784,0.46536294
137,ChatGPT,Zero-shot,47,45,permuted_global,Computer Science,,0.8774688,0.92469025,0.9004609,0.27278683,0.5530735,0.4102234
138,ChatGPT,Zero-shot,47,30,permuted_domain,Computer Science,,0.8700488,0.8530637,0.8614725,0.22874968,0.12800507,0.17921416
139,ChatGPT,Zero-shot,48,48,correct,Computer Science,,0.84893185,0.9036058,0.8754159,0.10342206,0.42794776,0.26183003
140,ChatGPT,Zero-shot,48,305,permuted_global,Computer Science,,0.7854171,0.8026372,0.7939338,-0.27353325,-0.1712514,-0.22095755
141,ChatGPT,Zero-shot,48,47,permuted_domain,Computer Science,,0.8488255,0.8749382,0.8616841,0.102790974,0.25781944,0.18046789
142,ChatGPT,Zero-shot,49,49,correct,Computer Science,,0.8903518,0.92174196,0.905775,0.34924614,0.5355769,0.4417099
143,ChatGPT,Zero-shot,49,175,permuted_global,Computer Science,,0.83257043,0.812302,0.82231134,0.006318311,-0.11389571,-0.05281855
144,ChatGPT,Zero-shot,49,53,permuted_domain,Computer Science,,0.85842705,0.85240066,0.85540324,0.15977535,0.124070235,0.14325345
145,ChatGPT,Zero-shot,50,50,correct,Computer Science,,0.8570858,0.8512579,0.8541619,0.15181528,0.117288634,0.13589849
146,ChatGPT,Zero-shot,50,356,permuted_global,Computer Science,,0.81931174,0.8229978,0.82115066,-0.072371036,-0.050421286,-0.059695672
147,ChatGPT,Zero-shot,50,90,permuted_domain,Computer Science,,0.8425624,0.8645748,0.8534267,0.06561974,0.19631773,0.13154224
148,ChatGPT,Zero-shot,51,51,correct,Computer Science,,0.931677,0.9594175,0.9453438,0.5945081,0.7591629,0.6761579
149,ChatGPT,Zero-shot,51,129,permuted_global,Computer Science,,0.82402134,0.8154645,0.8197206,-0.04441991,-0.0951278,-0.06816874
150,ChatGPT,Zero-shot,51,73,permuted_domain,Computer Science,,0.8558354,0.8691325,0.8624327,0.14439398,0.22336562,0.18490359
151,ChatGPT,Zero-shot,52,52,correct,Computer Science,,0.90821624,0.9288824,0.9184331,0.45527038,0.577952,0.5167102
152,ChatGPT,Zero-shot,52,313,permuted_global,Computer Science,,0.8300322,0.8686485,0.84890145,-0.008745736,0.22049338,0.10472983
153,ChatGPT,Zero-shot,52,91,permuted_domain,Computer Science,,0.85400814,0.8673996,0.8606518,0.13354945,0.21308143,0.17435147
154,ChatGPT,Zero-shot,53,53,correct,Computer Science,,0.91427416,0.9149786,0.91462624,0.49122366,0.4954398,0.4941541
155,ChatGPT,Zero-shot,53,212,permuted_global,Computer Science,,0.8391623,0.8251176,0.8320806,0.045440476,-0.03784143,0.005065049
156,ChatGPT,Zero-shot,53,44,permuted_domain,Computer Science,,0.8537934,0.87191606,0.86275953,0.1322749,0.23988454,0.18683998
157,ChatGPT,Zero-shot,54,54,correct,Computer Science,,0.9001672,0.9148035,0.90742636,0.40750012,0.49440053,0.45149428
158,ChatGPT,Zero-shot,54,255,permuted_global,Computer Science,,0.84076,0.8012552,0.8205324,0.05492272,-0.17945287,-0.06335902
159,ChatGPT,Zero-shot,54,26,permuted_domain,Computer Science,,0.8587278,0.8248662,0.8414565,0.16156036,-0.03933344,0.06061778
160,ChatGPT,Zero-shot,55,55,correct,Computer Science,,0.9028264,0.9304991,0.9164539,0.42328227,0.58754605,0.5049831
161,ChatGPT,Zero-shot,55,333,permuted_global,Computer Science,,0.8425541,0.7911875,0.8160633,0.06557056,-0.23919973,-0.08983875
162,ChatGPT,Zero-shot,55,51,permuted_domain,Computer Science,,0.8716519,0.8592273,0.865395,0.23826376,0.164583,0.20245539
163,ChatGPT,Zero-shot,56,56,correct,Computer Science,,0.85546464,0.9036916,0.87891704,0.14219366,0.42845678,0.28257442
164,ChatGPT,Zero-shot,56,110,permuted_global,Computer Science,,0.834609,0.8145196,0.8244419,0.018416882,-0.100735396,-0.040194776
165,ChatGPT,Zero-shot,56,32,permuted_domain,Computer Science,,0.85906917,0.8530017,0.8560247,0.16358627,0.1276372,0.14693551
166,ChatGPT,Zero-shot,57,57,correct,Computer Science,,0.93990594,0.9538505,0.9468269,0.64334637,0.72612536,0.6849453
167,ChatGPT,Zero-shot,57,163,permuted_global,Computer Science,,0.8559356,0.80648947,0.8304772,0.14498863,-0.1483902,-0.004435361
168,ChatGPT,Zero-shot,57,88,permuted_domain,Computer Science,,0.86868614,0.87150884,0.87009513,0.22066227,0.2374679,0.23030399
169,ChatGPT,Zero-shot,58,58,correct,Computer Science,,0.9511438,0.97104585,0.9609918,0.7100422,0.8281713,0.7688735
170,ChatGPT,Zero-shot,58,258,permuted_global,Computer Science,,0.8385444,0.80511034,0.8214873,0.041773513,-0.15657468,-0.057701014
171,ChatGPT,Zero-shot,58,74,permuted_domain,Computer Science,,0.87792933,0.8827455,0.88033086,0.2755199,0.304152,0.29095143
172,ChatGPT,Zero-shot,59,59,correct,Computer Science,,0.86236143,0.898039,0.8798387,0.1831256,0.39491132,0.28803536
173,ChatGPT,Zero-shot,59,147,permuted_global,Computer Science,,0.8249303,0.8016263,0.8131114,-0.039025236,-0.17725056,-0.10732874
174,ChatGPT,Zero-shot,59,28,permuted_domain,Computer Science,,0.88907695,0.876541,0.8827645,0.34168017,0.26733142,0.30537102
175,ChatGPT,Zero-shot,60,60,correct,Computer Science,,0.8913903,0.94693893,0.9183253,0.35540986,0.68510854,0.5160713
176,ChatGPT,Zero-shot,60,323,permuted_global,Computer Science,,0.7818353,0.822063,0.8014447,-0.29479071,-0.055968747,-0.1764549
177,ChatGPT,Zero-shot,60,42,permuted_domain,Computer Science,,0.8054882,0.8387469,0.8217812,-0.15441251,0.04304189,-0.05595957
178,ChatGPT,Zero-shot,61,61,correct,Computer Science,,0.8719179,0.9054212,0.8883538,0.23984253,0.43872115,0.33848807
179,ChatGPT,Zero-shot,61,9,permuted_global,Computer Science,,0.87257314,0.82590526,0.84859806,0.2437313,-0.033166964,0.10293223
180,ChatGPT,Zero-shot,61,33,permuted_domain,Computer Science,,0.89067876,0.8407451,0.86499184,0.3511868,0.054900143,0.20006661
181,ChatGPT,Zero-shot,62,62,correct,Computer Science,,0.89837927,0.9174602,0.90781945,0.3968887,0.51016676,0.45382336
182,ChatGPT,Zero-shot,62,360,permuted_global,Computer Science,,0.8162507,0.8487522,0.83218426,-0.09053817,0.102418415,0.0056791976
183,ChatGPT,Zero-shot,62,38,permuted_domain,Computer Science,,0.8589355,0.8355094,0.8470605,0.16279282,0.023828996,0.09382207
184,ChatGPT,Zero-shot,63,63,correct,Computer Science,,0.85322595,0.8950562,0.8736406,0.1289072,0.3772099,0.25131112
185,ChatGPT,Zero-shot,63,203,permuted_global,Computer Science,,0.8281584,0.8228807,0.82551104,-0.019866899,-0.051116355,-0.03386011
186,ChatGPT,Zero-shot,63,50,permuted_domain,Computer Science,,0.8098606,0.8425947,0.8259034,-0.1284629,0.065876566,-0.031535245
187,ChatGPT,Zero-shot,64,64,correct,Computer Science,,0.85074574,0.88960147,0.8697399,0.11418735,0.3448388,0.22819914
188,ChatGPT,Zero-shot,64,361,permuted_global,Computer Science,,0.7883188,0.8262069,0.80681825,-0.25631168,-0.031376764,-0.14461629
189,ChatGPT,Zero-shot,64,40,permuted_domain,Computer Science,,0.8338125,0.83980936,0.83680016,0.013689733,0.049347024,0.033028767
190,ChatGPT,Zero-shot,65,65,correct,Computer Science,,0.8875531,0.92857474,0.90760064,0.3326362,0.5761261,0.4525269
191,ChatGPT,Zero-shot,65,66,permuted_global,Computer Science,,0.89896023,0.9023978,0.9006758,0.4003367,0.42077884,0.41149655
192,ChatGPT,Zero-shot,65,71,permuted_domain,Computer Science,,0.85814273,0.8821634,0.8699873,0.15808795,0.30069754,0.22966512
193,ChatGPT,Zero-shot,66,66,correct,Computer Science,,0.9080763,0.96596,0.9361242,0.4544398,0.7979894,0.6215311
194,ChatGPT,Zero-shot,66,279,permuted_global,Computer Science,,0.8477851,0.8300057,0.8388012,0.09661628,-0.008832851,0.04488512
195,ChatGPT,Zero-shot,66,79,permuted_domain,Computer Science,,0.863757,0.9032463,0.8830604,0.19140829,0.4258141,0.30712414
196,ChatGPT,Zero-shot,67,67,correct,Computer Science,,0.9268999,0.94664997,0.9366708,0.56615657,0.6833937,0.6247696
197,ChatGPT,Zero-shot,67,11,permuted_global,Computer Science,,0.86648655,0.81447977,0.8396786,0.20760787,-0.100971684,0.050083663
198,ChatGPT,Zero-shot,67,68,permuted_domain,Computer Science,,0.8912787,0.9039073,0.89754856,0.3547473,0.4297369,0.39296755
199,ChatGPT,Zero-shot,68,68,correct,Computer Science,,0.9079142,0.93998915,0.9236733,0.45347795,0.643865,0.54775846
200,ChatGPT,Zero-shot,68,181,permuted_global,Computer Science,,0.8486735,0.79356694,0.8201956,0.10188891,-0.22507906,-0.065354384
